city,period,units_total_absorption,fitted_units
NCR,Q2-2015,9804.0,9858.724030966183
NCR,Q3-2015,9412.0,9472.932903871584
NCR,Q4-2015,9386.0,9710.590863532558
NCR,Q1-2016,10012.0,9772.461143590088
NCR,Q2-2016,8972.0,9119.222495291939
NCR,Q3-2016,8177.0,8669.492370797516
NCR,Q4-2016,6478.0,7073.609024493829
NCR,Q1-2017,5761.0,5845.431956466788
NCR,Q2-2017,6343.0,5769.617888690557
NCR,Q3-2017,6800.0,6472.433289993834
NCR,Q4-2017,6161.0,6291.1444758993775
NCR,Q1-2018,6541.0,6500.001378228882
NCR,Q2-2018,9102.0,7650.964888156903
NCR,Q3-2018,8408.0,8038.567051234632
NCR,Q4-2018,9011.0,9105.902476421623
NCR,Q1-2019,8005.0,8494.359012744495
NCR,Q2-2019,7244.0,7739.460869083022
NCR,Q3-2019,6604.0,7040.87515373366
NCR,Q4-2019,7603.0,7399.691334162707
NCR,Q1-2020,6005.0,6439.2832834354585
NCR,Q2-2020,2537.0,2684.0739964529075
NCR,Q3-2020,4944.0,4850.254379711505
NCR,Q4-2020,6410.0,5811.270846612193
NCR,Q1-2021,6723.0,6385.7651553283495
NCR,Q2-2021,4597.0,4960.7546061864705
NCR,Q3-2021,7548.0,6163.182278741304
NCR,Q4-2021,9302.0,8538.556815313854
NCR,Q1-2022,8753.0,8377.284196915194
NCR,Q2-2022,7536.0,8090.014932221248
NCR,Q3-2022,8791.0,8414.629210913947
NCR,Q4-2022,10685.0,10216.75779662888
NCR,Q1-2023,12635.0,12130.04827924919
NCR,Q2-2023,9959.0,10634.627029893401
NCR,Q3-2023,8618.0,9648.468604807602
NCR,Q4-2023,10498.0,10498.66408936574
NCR,Q1-2024,10258.0,10013.695977887171
NCR,Q2-2024,10065.0,9856.682814088204
NCR,Q3-2024,10450.0,10842.27857842945
NCR,Q4-2024,11954.0,11714.162817413357
NCR,Q1-2025,10789.0,11325.812789121475
NCR,Q2-2025,13990.0,13469.668288589559
NCR,Q3-2025,10215.0,11420.906422202717
NCR,Q4-2025,11932.0,11083.269473558592
Pune,Q1-2008,12296.000000000002,
Pune,Q2-2008,11448.000000000004,
Pune,Q3-2008,7889.000000000004,
Pune,Q4-2008,4878.000000000004,
Pune,Q1-2009,7302.000000000001,7215.560032471595
Pune,Q2-2009,10385.0,10228.776554753062
Pune,Q3-2009,9065.000000000004,9495.940210596664
Pune,Q4-2009,9289.0,9255.612333062474
Pune,Q1-2010,9982.999999999998,9353.257208166453
Pune,Q2-2010,11542.000000000004,11424.939267255806
Pune,Q3-2010,12273.999999999996,12812.26002363035
Pune,Q4-2010,13564.0,13552.35744906439
Pune,Q1-2011,14597.999999999998,14557.692416559707
Pune,Q2-2011,13521.000000000004,13898.445963377882
Pune,Q3-2011,11463.00000000001,12083.89121144191
Pune,Q4-2011,12438.000000000004,12125.308620834045
Pune,Q1-2012,13446.000000000004,12899.78394153269
Pune,Q2-2012,13023.000000000004,12747.424491905678
Pune,Q3-2012,15505.00000000001,14731.30108027847
Pune,Q4-2012,12881.000000000007,13395.660109679748
Pune,Q1-2013,13629.000000000002,13155.972207915911
Pune,Q2-2013,12574.000000000004,12741.021901647078
Pune,Q3-2013,11947.000000000007,11516.512348054588
Pune,Q4-2013,12755.999999999996,12739.892204239683
Pune,Q1-2014,12192.000000000004,11959.25179095591
Pune,Q2-2014,12592.999999999996,12463.895639876107
Pune,Q3-2014,12433.000000000004,12540.059396037988
Pune,Q4-2014,13689.999999999993,13211.8433805673
Pune,Q1-2015,15152.999999999998,14859.244295971142
Pune,Q2-2015,14497.000000000002,14109.991161741094
Pune,Q3-2015,13420.999999999998,13309.852057310605
Pune,Q4-2015,13962.999999999998,13660.87768811327
Pune,Q1-2016,14079.999999999987,13395.206908982842
Pune,Q2-2016,13834.999999999998,13145.831654654377
Pune,Q3-2016,13465.999999999987,13661.882157476814
Pune,Q4-2016,11306.999999999993,11906.238148294527
Pune,Q1-2017,11366.999999999996,11050.537699630187
Pune,Q2-2017,12694.999999999993,12189.125773696325
Pune,Q3-2017,13359.999999999996,12716.949583629035
Pune,Q4-2017,13825.000000000004,13684.666967339457
Pune,Q1-2018,13983.00000000001,14364.414326111635
Pune,Q2-2018,15822.99999999999,15229.123793672337
Pune,Q3-2018,16427.0,15783.477086843215
Pune,Q4-2018,18330.0,18072.08096926215
Pune,Q1-2019,19779.000000000004,18631.35369632537
Pune,Q2-2019,18097.0,18072.09376699109
Pune,Q3-2019,17677.0,18034.060656992657
Pune,Q4-2019,21275.999999999996,20887.031645418938
Pune,Q1-2020,19682.0,20182.548284933277
Pune,Q2-2020,7225.999999999993,8044.083673601275
Pune,Q3-2020,14140.000000000013,13985.316443292042
Pune,Q4-2020,23801.000000000007,23142.61883111306
Pune,Q1-2021,23719.000000000007,23393.061085775767
Pune,Q2-2021,11312.0,13739.700335780257
Pune,Q3-2021,19151.0,19386.556928736252
Pune,Q4-2021,24382.000000000004,23925.549325878535
Pune,Q1-2022,25921.000000000004,25523.226985788275
Pune,Q2-2022,22107.000000000004,21585.343888319712
Pune,Q3-2022,22772.0,23635.98651897193
Pune,Q4-2022,26137.0,25334.25513345959
Pune,Q1-2023,27894.999999999996,27717.12665810337
Pune,Q2-2023,26325.0,24801.375263615293
Pune,Q3-2023,25636.000000000004,26531.46241251215
Pune,Q4-2023,26500.0,26555.675430953434
Pune,Q1-2024,26267.000000000007,25405.062562137125
Pune,Q2-2024,24217.0,22977.90674126975
Pune,Q3-2024,21751.000000000007,21737.569359391156
Pune,Q4-2024,23155.0,22342.10800458024
Pune,Q1-2025,21273.0,20875.62367236497
Pune,Q2-2025,19049.000000000004,18567.896413932245
Pune,Q3-2025,19025.0,19464.99356423361
Pune,Q4-2025,16786.999999999993,17000.72931076895
